,Id_hotel,Hotel_name
212,1AA9ol1xiefH,"Condo Hotel
Appart Hotel Monaco"
213,2AIe7eundj8H,"Condo Hotel
Apparts-hôtel ISNI"
214,3BhcauudbofH,Hotel Be Live Collection Saïdia
215,4CNzd4xukdjH,Hotel Club Paradisio
216,5Ewgj8t0ywbH,Hotel El Oumnia Puerto & Spa
217,6Ex2fw4vcbgH,Hotel El Pueblo Tamlelt - All Inclusive
218,7Ht5d1l26toH,Hotel Hotel Bellerive
219,8Hqomrs4lbvH,Hotel Hotel la Felouk
220,9Hv3mu4zhj0H,Hotel Four Seasons Hotel Istanbul at the Bosphorus
221,10HIv4jn5in1H,Hotel Hotel Riu Palace Tikida Taghazout - All Inclusive
222,11Hyss2nvmzeH,Hotel WOW Hotel Penang
223,12HBcksykjl5H,Hotel Hôtel Les Ambassadeurs
224,13HR0byuenx0H,Hotel Hôtel Riad Rahba
225,14HL05icuqb9H,Hotel Hôtel Royal Urban Concept
226,15HYbxiprl88H,Hotel Hôtel & Ryads Barrière Le Naoura
227,16Lr48diwzr2H,"Condo Hotel
L escale Appart-hôtel By 7AV HOTELS"
228,17MEzgjow4xrH,"Condo Hotel
Maison de la Lagune"
229,18MVd2au8j6bH,Hotel Mazagan Beach & Golf Resort
230,19RD73kgd2qhH,Hotel Radisson Blu Resort Al Hoceima
231,20RX4g72efxpH,Hotel Radisson Blu Resort Saidia Beach
232,21Sn44h4ntyfH,Hotel Sofitel Tamuda Bay Beach And Spa
233,22SQl04stfj2H,Hotel Suites Hotel Mohammed V by Accor
234,23Zj08uqlhsaH,Hotel Zephyr Targa Marrakech
235,1Ancb1oot3sH,Hotel Aymane ROOFTOP Hotel
236,2CMka4vf868H,Hotel Casa Las Tortugas Petit Beach Hotel & Spa
237,3Hrtx6cm4pdH,Hotel Hotel Bab Mansour
238,4HG80q02iuoH,Hotel Hotel Coeur de Mogador
239,5Hbhnbjfig2H,Hotel Hotel Le Gardenia (ex Lutetia)
240,6Hw0wju1e91H,Hotel Hotel Les Trois Palmiers
241,7HMci1nvgs7H,Hotel Hotel Marrakech le Tichka
242,8HKtq98j9l4H,"Hotel Makkah Clock Royal Tower, A Fairmont Hotel"
243,9HHv47mbovoH,Hotel Hôtel Chellal Ouzoud
244,10Iv0qolpyftH,Hotel Ibis Budget Fès
245,11ICifo41hn5H,Hotel Ibis Casa Voyageurs
246,12Izbkfe4bgnH,Hotel Ibis Casablanca City Center
247,13IYcxzb02vtH,Hotel Ibis Casablanca Sidi Maarouf
248,14IM9nwwewrmH,Hotel Ibis Marrakech Centre Gare
249,15IGseiqb7arH,Hotel Ibis Marrakech Palmeraie
250,16Idjvn4roi9H,Hotel Ibis Mohammedia
251,17Ixta1g809pH,Hotel Ibis Rabat Agdal
252,18mb4d84ngt9H,Hotel maison d hôtes tifrit
253,19RPpoocjzacH,Hotel Residence Ezzahia
254,20Rdogwx2qo6H,"Condo Hotel
Résidence La Place"
